shock_id,variable_1,variable_2,correlation,abs_correlation
2007,debt_capacity_score_0_100,debt_capacity_score_0_100,1.0,1.0
2007,debt_capacity_score_0_100,employment_strength_score_0_100,0.33744426986906867,0.33744426986906867
2007,debt_capacity_score_0_100,rd_intensity_score_0_100,-0.051671042218044166,0.051671042218044166
2007,debt_capacity_score_0_100,human_capital_tertiary_score_0_100,0.1494408327296491,0.1494408327296491
2007,debt_capacity_score_0_100,energy_security_score_0_100,0.17438402712687331,0.17438402712687331
2007,employment_strength_score_0_100,debt_capacity_score_0_100,0.33744426986906867,0.33744426986906867
2007,employment_strength_score_0_100,employment_strength_score_0_100,1.0,1.0
2007,employment_strength_score_0_100,rd_intensity_score_0_100,0.2937645164710902,0.2937645164710902
2007,employment_strength_score_0_100,human_capital_tertiary_score_0_100,0.40849734828815937,0.40849734828815937
2007,employment_strength_score_0_100,energy_security_score_0_100,0.23758581114425373,0.23758581114425373
2007,rd_intensity_score_0_100,debt_capacity_score_0_100,-0.051671042218044166,0.051671042218044166
2007,rd_intensity_score_0_100,employment_strength_score_0_100,0.2937645164710902,0.2937645164710902
2007,rd_intensity_score_0_100,rd_intensity_score_0_100,1.0,1.0
2007,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,0.5374475540862599,0.5374475540862599
2007,rd_intensity_score_0_100,energy_security_score_0_100,0.2762635331450454,0.2762635331450454
2007,human_capital_tertiary_score_0_100,debt_capacity_score_0_100,0.1494408327296491,0.1494408327296491
2007,human_capital_tertiary_score_0_100,employment_strength_score_0_100,0.40849734828815937,0.40849734828815937
2007,human_capital_tertiary_score_0_100,rd_intensity_score_0_100,0.5374475540862599,0.5374475540862599
2007,human_capital_tertiary_score_0_100,human_capital_tertiary_score_0_100,1.0,1.0
2007,human_capital_tertiary_score_0_100,energy_security_score_0_100,0.4731389833124016,0.4731389833124016
2007,energy_security_score_0_100,debt_capacity_score_0_100,0.17438402712687331,0.17438402712687331
2007,energy_security_score_0_100,employment_strength_score_0_100,0.23758581114425373,0.23758581114425373
2007,energy_security_score_0_100,rd_intensity_score_0_100,0.2762635331450454,0.2762635331450454
2007,energy_security_score_0_100,human_capital_tertiary_score_0_100,0.4731389833124016,0.4731389833124016
2007,energy_security_score_0_100,energy_security_score_0_100,1.0,1.0
2019,debt_capacity_score_0_100,debt_capacity_score_0_100,1.0,1.0
2019,debt_capacity_score_0_100,employment_strength_score_0_100,0.32522529663934224,0.32522529663934224
2019,debt_capacity_score_0_100,rd_intensity_score_0_100,-0.050293822389966866,0.050293822389966866
2019,debt_capacity_score_0_100,human_capital_tertiary_score_0_100,0.08981405452894453,0.08981405452894453
2019,debt_capacity_score_0_100,energy_security_score_0_100,0.07447055157230399,0.07447055157230399
2019,employment_strength_score_0_100,debt_capacity_score_0_100,0.32522529663934224,0.32522529663934224
2019,employment_strength_score_0_100,employment_strength_score_0_100,1.0,1.0
2019,employment_strength_score_0_100,rd_intensity_score_0_100,0.36234428412813563,0.36234428412813563
2019,employment_strength_score_0_100,human_capital_tertiary_score_0_100,0.3843075975090226,0.3843075975090226
2019,employment_strength_score_0_100,energy_security_score_0_100,-0.08073759984181607,0.08073759984181607
2019,rd_intensity_score_0_100,debt_capacity_score_0_100,-0.050293822389966866,0.050293822389966866
2019,rd_intensity_score_0_100,employment_strength_score_0_100,0.36234428412813563,0.36234428412813563
2019,rd_intensity_score_0_100,rd_intensity_score_0_100,1.0,1.0
2019,rd_intensity_score_0_100,human_capital_tertiary_score_0_100,0.5078950676988407,0.5078950676988407
2019,rd_intensity_score_0_100,energy_security_score_0_100,-0.17645183273533188,0.17645183273533188
2019,human_capital_tertiary_score_0_100,debt_capacity_score_0_100,0.08981405452894453,0.08981405452894453
2019,human_capital_tertiary_score_0_100,employment_strength_score_0_100,0.3843075975090226,0.3843075975090226
2019,human_capital_tertiary_score_0_100,rd_intensity_score_0_100,0.5078950676988407,0.5078950676988407
2019,human_capital_tertiary_score_0_100,human_capital_tertiary_score_0_100,1.0,1.0
2019,human_capital_tertiary_score_0_100,energy_security_score_0_100,0.087956405645388,0.087956405645388
2019,energy_security_score_0_100,debt_capacity_score_0_100,0.07447055157230399,0.07447055157230399
2019,energy_security_score_0_100,employment_strength_score_0_100,-0.08073759984181607,0.08073759984181607
2019,energy_security_score_0_100,rd_intensity_score_0_100,-0.17645183273533188,0.17645183273533188
2019,energy_security_score_0_100,human_capital_tertiary_score_0_100,0.087956405645388,0.087956405645388
2019,energy_security_score_0_100,energy_security_score_0_100,1.0,1.0
